senet:
Test set: Average loss: 0.9818, Accuracy: 0.7794
Test set: Average loss: 0.9064, Accuracy: 0.8125
Test set: Average loss: 0.9481, Accuracy: 0.7978
Test set: Average loss: 1.0975, Accuracy: 0.7721
Test set: Average loss: 0.8758, Accuracy: 0.7978
Test set: Average loss: 1.0809, Accuracy: 0.7537
Test set: Average loss: 0.8797, Accuracy: 0.7757
Test set: Average loss: 1.0614, Accuracy: 0.7904
Test set: Average loss: 1.1519, Accuracy: 0.7831
Test set: Average loss: 0.7879, Accuracy: 0.8346
Test set: Average loss: 1.1128, Accuracy: 0.7721
Test set: Average loss: 1.2781, Accuracy: 0.7500
Test set: Average loss: 1.0351, Accuracy: 0.7941
Test set: Average loss: 0.9627, Accuracy: 0.7868
Test set: Average loss: 0.9246, Accuracy: 0.7904
Test set: Average loss: 0.8679, Accuracy: 0.8272
Test set: Average loss: 0.7836, Accuracy: 0.8015
Test set: Average loss: 0.8303, Accuracy: 0.8272
Test set: Average loss: 0.7790, Accuracy: 0.8162
Test set: Average loss: 0.8428, Accuracy: 0.8015
Test set: Average loss: 1.0622, Accuracy: 0.7574
Test set: Average loss: 0.8626, Accuracy: 0.8051
linear
Test set: Average loss: 2.3566, Accuracy: 0.2316
Test set: Average loss: 2.1130, Accuracy: 0.3529
Test set: Average loss: 2.3473, Accuracy: 0.2426
Test set: Average loss: 2.1004, Accuracy: 0.3382
Test set: Average loss: 1.9552, Accuracy: 0.3750
Test set: Average loss: 1.8476, Accuracy: 0.4154
Test set: Average loss: 1.7814, Accuracy: 0.4265
Test set: Average loss: 1.7167, Accuracy: 0.4743
Test set: Average loss: 1.6782, Accuracy: 0.4301
Test set: Average loss: 1.6309, Accuracy: 0.4706
Test set: Average loss: 1.6069, Accuracy: 0.4963
Test set: Average loss: 1.5802, Accuracy: 0.5110
Test set: Average loss: 1.5703, Accuracy: 0.4926
Test set: Average loss: 1.5550, Accuracy: 0.5147
Test set: Average loss: 1.5483, Accuracy: 0.5147
Test set: Average loss: 1.5265, Accuracy: 0.5221
Test set: Average loss: 1.5306, Accuracy: 0.5257
Test set: Average loss: 1.5231, Accuracy: 0.5110
Test set: Average loss: 1.5234, Accuracy: 0.5294
Test set: Average loss: 1.5203, Accuracy: 0.5404
Test set: Average loss: 1.5381, Accuracy: 0.5331
Test set: Average loss: 1.5435, Accuracy: 0.5257
Test set: Average loss: 1.5494, Accuracy: 0.5184
Test set: Average loss: 1.5748, Accuracy: 0.5110
Test set: Average loss: 1.5606, Accuracy: 0.5368
Test set: Average loss: 1.5974, Accuracy: 0.5184
Test set: Average loss: 1.5956, Accuracy: 0.5257
Test set: Average loss: 1.6388, Accuracy: 0.4890
Test set: Average loss: 1.6272, Accuracy: 0.4890
Test set: Average loss: 1.6206, Accuracy: 0.5184
Test set: Average loss: 1.6549, Accuracy: 0.4926
Test set: Average loss: 1.6388, Accuracy: 0.5221
Test set: Average loss: 1.6748, Accuracy: 0.5147
Test set: Average loss: 1.6878, Accuracy: 0.5037
Test set: Average loss: 1.6879, Accuracy: 0.5037
Test set: Average loss: 1.7400, Accuracy: 0.5074
Test set: Average loss: 1.7388, Accuracy: 0.5221
Test set: Average loss: 1.7417, Accuracy: 0.5147
Test set: Average loss: 1.7622, Accuracy: 0.5221
Test set: Average loss: 1.7688, Accuracy: 0.5184
Test set: Average loss: 1.8164, Accuracy: 0.5074
Test set: Average loss: 1.8436, Accuracy: 0.5184
Test set: Average loss: 1.8332, Accuracy: 0.4890
Test set: Average loss: 1.8490, Accuracy: 0.5184
Test set: Average loss: 1.8710, Accuracy: 0.5221
Test set: Average loss: 1.8848, Accuracy: 0.5184
Test set: Average loss: 1.9027, Accuracy: 0.5000
Test set: Average loss: 1.9085, Accuracy: 0.5221
Test set: Average loss: 1.9250, Accuracy: 0.5331
Test set: Average loss: 1.9624, Accuracy: 0.5221
Test set: Average loss: 1.9675, Accuracy: 0.5221
Test set: Average loss: 1.9714, Accuracy: 0.5257
Test set: Average loss: 1.9838, Accuracy: 0.5074
Test set: Average loss: 2.0057, Accuracy: 0.5147
Test set: Average loss: 2.0063, Accuracy: 0.5110
Test set: Average loss: 2.0214, Accuracy: 0.5110
Test set: Average loss: 2.0343, Accuracy: 0.5184
Test set: Average loss: 2.0515, Accuracy: 0.5074
Test set: Average loss: 2.0799, Accuracy: 0.5037
Test set: Average loss: 2.0721, Accuracy: 0.5074
Test set: Average loss: 2.0995, Accuracy: 0.5110
Test set: Average loss: 2.1367, Accuracy: 0.5074
Test set: Average loss: 2.1487, Accuracy: 0.5110
Test set: Average loss: 2.1627, Accuracy: 0.5074
Test set: Average loss: 2.1683, Accuracy: 0.5074
Test set: Average loss: 2.1697, Accuracy: 0.5110
Test set: Average loss: 2.1734, Accuracy: 0.5184
Test set: Average loss: 2.2022, Accuracy: 0.5147
Test set: Average loss: 2.2230, Accuracy: 0.5110
Test set: Average loss: 2.2106, Accuracy: 0.5037
Test set: Average loss: 2.2210, Accuracy: 0.5037
